Coin;Date;Open;High;Low;Close;Adj Close;Volume
CIX100;04.07.2019;0.812246;0.862014;0.70507;0.754013;0.754013;480763
CIX100;05.07.2019;0.753972;0.884353;0.712899;0.870826;0.870826;443053
CIX100;06.07.2019;0.870635;0.915997;0.866726;0.884529;0.884529;428219
CIX100;07.07.2019;0.886881;0.912567;0.87957;0.906153;0.906153;385827
CIX100;08.07.2019;0.906019;0.974374;0.894818;0.950828;0.950828;282725
CIX100;09.07.2019;0.95079;0.984595;0.946848;0.959539;0.959539;199073
CIX100;10.07.2019;0.964134;1.004854;0.888271;0.917813;0.917813;166300
CIX100;11.07.2019;0.917601;0.919756;0.831737;0.858759;0.858759;181005
CIX100;12.07.2019;0.859027;0.897846;0.844017;0.894016;0.894016;218105
CIX100;13.07.2019;0.895445;0.898107;0.823798;0.851527;0.851527;166336
CIX100;14.07.2019;0.848933;0.859806;0.775123;0.777195;0.777195;144162
CIX100;15.07.2019;0.778691;0.823691;0.744154;0.820163;0.820163;205986
CIX100;16.07.2019;0.817161;0.824397;0.700672;0.707017;0.707017;133600
CIX100;17.07.2019;0.707389;0.748583;0.67429;0.737197;0.737197;143556
CIX100;18.07.2019;0.737066;0.805703;0.708931;0.802482;0.802482;193466
CIX100;19.07.2019;0.802482;0.804962;0.76445;0.781628;0.781628;493534
CIX100;20.07.2019;0.786442;0.836694;0.782467;0.819716;0.819716;373003
CIX100;21.07.2019;0.819716;0.820682;0.780924;0.796844;0.796844;223272
CIX100;22.07.2019;0.796855;0.801557;0.760408;0.776064;0.776064;281560
CIX100;23.07.2019;0.776119;0.777928;0.743393;0.747829;0.747829;215263
CIX100;24.07.2019;0.747829;0.748205;0.72418;0.74307;0.74307;354174
CIX100;25.07.2019;0.742257;0.771707;0.739743;0.756078;0.756078;239504
CIX100;26.07.2019;0.754058;0.758449;0.734702;0.747698;0.747698;168147
CIX100;27.07.2019;0.747698;0.78053;0.70823;0.716434;0.716434;252281
CIX100;28.07.2019;0.716434;0.725203;0.684691;0.721314;0.721314;188447
CIX100;29.07.2019;0.720468;0.731469;0.710004;0.714967;0.714967;188389
CIX100;30.07.2019;0.714806;0.732204;0.711945;0.718677;0.718677;228136
CIX100;31.07.2019;0.721455;0.759483;0.718567;0.757685;0.757685;189303
CIX100;01.08.2019;0.757607;0.782401;0.744028;0.778469;0.778469;206196
CIX100;02.08.2019;0.778395;0.796248;0.773747;0.77975;0.77975;258602
CIX100;03.08.2019;0.779966;0.814205;0.779262;0.806827;0.806827;209459
CIX100;04.08.2019;0.807147;0.816089;0.784872;0.81169;0.81169;245596
CIX100;05.08.2019;0.811218;0.877328;0.810799;0.866217;0.866217;237894
CIX100;06.08.2019;0.867183;0.902608;0.824051;0.837559;0.837559;180743
CIX100;07.08.2019;0.837783;0.878964;0.836189;0.862796;0.862796;163821
CIX100;08.08.2019;0.862796;0.863879;0.828884;0.85871;0.85871;140326
CIX100;09.08.2019;0.859166;0.859668;0.839972;0.841567;0.841567;143133
CIX100;10.08.2019;0.841567;0.852047;0.811028;0.813972;0.813972;128129
CIX100;11.08.2019;0.814287;0.82987;0.810313;0.828324;0.828324;101796
CIX100;12.08.2019;0.827932;0.830105;0.820245;0.822273;0.822273;95986
CIX100;13.08.2019;0.822679;0.824116;0.79013;0.795033;0.795033;90813
CIX100;14.08.2019;0.795085;0.79664;0.757042;0.757323;0.757323;80315
CIX100;15.08.2019;0.757323;0.770633;0.730691;0.749869;0.749869;98114
CIX100;16.08.2019;0.750087;0.756072;0.714485;0.75083;0.75083;95979
CIX100;17.08.2019;0.750805;0.753093;0.726569;0.733403;0.733403;74473
CIX100;18.08.2019;0.732951;0.760475;0.729619;0.756983;0.756983;76649
CIX100;19.08.2019;0.756832;0.781331;0.754106;0.779638;0.779638;95235
CIX100;20.08.2019;0.779638;0.782251;0.768506;0.774451;0.774451;94410
CIX100;21.08.2019;0.773932;0.776829;0.713021;0.722107;0.722107;72888
CIX100;22.08.2019;0.721975;0.742013;0.711297;0.741219;0.741219;63780
CIX100;23.08.2019;0.741219;0.752254;0.734927;0.75195;0.75195;69051
CIX100;24.08.2019;0.7517;0.753626;0.725105;0.733377;0.733377;79932
CIX100;25.08.2019;0.733377;0.748396;0.730595;0.738002;0.738002;79479
CIX100;26.08.2019;0.73647;0.759555;0.732145;0.745402;0.745402;103433
CIX100;27.08.2019;0.745584;0.74566;0.723332;0.736386;0.736386;72802
