,Club_Name,Token_Name,Date,Open,High,Low,Close,Volume
0,Universidad de Chile Fan Token,UCH-USD,2021-08-10,1.462359,1.463745,1.375151,1.41623,0.0
1,Universidad de Chile Fan Token,UCH-USD,2021-08-11,1.417775,1.589278,1.345132,1.369449,0.0
2,Universidad de Chile Fan Token,UCH-USD,2021-08-12,1.366123,1.479856,1.028238,1.360279,0.0
3,Universidad de Chile Fan Token,UCH-USD,2021-08-13,1.359511,1.580212,1.177339,1.555662,0.0
4,Universidad de Chile Fan Token,UCH-USD,2021-08-14,1.551773,1.61001,1.211141,1.34731,0.0
5,Universidad de Chile Fan Token,UCH-USD,2021-08-15,1.348445,1.534026,1.275222,1.412616,0.0
6,Universidad de Chile Fan Token,UCH-USD,2021-08-16,1.412282,1.494689,1.246478,1.269404,0.0
7,Universidad de Chile Fan Token,UCH-USD,2021-08-17,1.275015,1.324935,1.067843,1.161477,0.0
8,Universidad de Chile Fan Token,UCH-USD,2021-08-18,1.166811,1.197117,1.05324,1.124562,0.0
9,Universidad de Chile Fan Token,UCH-USD,2021-08-19,1.121929,1.321884,1.046177,1.171665,0.0
10,Universidad de Chile Fan Token,UCH-USD,2021-08-20,1.173273,1.201391,1.057857,1.122383,0.0
11,Universidad de Chile Fan Token,UCH-USD,2021-08-21,1.122335,1.256571,1.049376,1.139335,0.0
12,Universidad de Chile Fan Token,UCH-USD,2021-08-22,1.133801,1.239914,1.081663,1.138399,0.0
13,Universidad de Chile Fan Token,UCH-USD,2021-08-23,1.137606,1.258217,1.096546,1.162898,0.0
14,Universidad de Chile Fan Token,UCH-USD,2021-08-24,1.164822,1.218271,1.047869,1.109597,0.0
15,Universidad de Chile Fan Token,UCH-USD,2021-08-25,1.106862,1.180097,1.037122,1.148453,0.0
16,Universidad de Chile Fan Token,UCH-USD,2021-08-26,1.149623,1.746758,1.007066,1.659851,0.0
17,Universidad de Chile Fan Token,UCH-USD,2021-08-27,1.660083,1.660083,1.023962,1.111498,0.0
18,Universidad de Chile Fan Token,UCH-USD,2021-08-28,1.11322,1.155126,1.078167,1.11318,0.0
19,Universidad de Chile Fan Token,UCH-USD,2021-08-29,1.112643,1.171065,1.061971,1.127765,0.0
20,Universidad de Chile Fan Token,UCH-USD,2021-08-30,1.128925,1.651528,1.075867,1.126191,0.0
21,Universidad de Chile Fan Token,UCH-USD,2021-08-31,1.125019,1.1763,1.072501,1.105105,0.0
22,Universidad de Chile Fan Token,UCH-USD,2021-09-01,1.105533,1.185653,1.085121,1.156512,0.0
23,Universidad de Chile Fan Token,UCH-USD,2021-09-02,1.14197,1.219627,1.09276,1.162378,0.0
24,Universidad de Chile Fan Token,UCH-USD,2021-09-03,1.162514,1.260087,1.08419,1.184572,0.0
25,Universidad de Chile Fan Token,UCH-USD,2021-09-04,1.185088,1.293919,1.120564,1.178328,0.0
26,Universidad de Chile Fan Token,UCH-USD,2021-09-05,1.179014,1.250439,1.084769,1.168838,0.0
27,Universidad de Chile Fan Token,UCH-USD,2021-09-06,1.170953,1.244275,1.063604,1.149257,0.0
28,Universidad de Chile Fan Token,UCH-USD,2021-09-07,1.150798,1.217579,0.882899,0.969852,0.0
29,Universidad de Chile Fan Token,UCH-USD,2021-09-08,0.969945,1.11428,0.904003,1.004096,0.0
30,Universidad de Chile Fan Token,UCH-USD,2021-09-09,0.995801,1.144835,0.976127,1.067481,0.0
31,Universidad de Chile Fan Token,UCH-USD,2021-09-10,1.067428,1.145416,0.999218,1.038697,0.0
32,Universidad de Chile Fan Token,UCH-USD,2021-09-11,1.0387,1.123409,1.011053,1.032733,0.0
33,Universidad de Chile Fan Token,UCH-USD,2021-09-12,1.034614,1.08723,0.990947,1.038779,0.0
34,Universidad de Chile Fan Token,UCH-USD,2021-09-13,1.038364,1.077792,0.9593,1.031904,0.0
35,Universidad de Chile Fan Token,UCH-USD,2021-09-14,1.032355,1.1895,0.977932,1.078513,0.0
36,Universidad de Chile Fan Token,UCH-USD,2021-09-15,1.078571,1.886271,1.021123,1.866485,0.0
37,Universidad de Chile Fan Token,UCH-USD,2021-09-16,1.867331,11.310878,1.49838,10.373971,0.0
38,Universidad de Chile Fan Token,UCH-USD,2021-09-17,10.376313,153.539276,3.325794,3.327875,0.0
39,Universidad de Chile Fan Token,UCH-USD,2021-09-18,3.332791,15.696033,2.323944,11.561974,0.0
40,Universidad de Chile Fan Token,UCH-USD,2021-09-19,11.572618,11.951984,9.01416,10.647779,0.0
41,Universidad de Chile Fan Token,UCH-USD,2021-09-20,10.642996,10.659708,6.803887,6.885204,0.0
42,Universidad de Chile Fan Token,UCH-USD,2021-09-21,6.863739,8.466676,5.747326,6.727269,0.0
43,Universidad de Chile Fan Token,UCH-USD,2021-09-22,6.732718,9.840385,5.882866,9.198147,0.0
44,Universidad de Chile Fan Token,UCH-USD,2021-09-23,9.195394,9.294547,7.10106,8.204677,0.0
