,Club_Name,Token_Name,Date,Open,High,Low,Close,Volume
0,Clube Atletico Mineiro Fan Token,GALO-USD,2021-11-24,2.349679,2.543536,2.291516,2.452783,253774
1,Clube Atletico Mineiro Fan Token,GALO-USD,2021-11-25,2.453136,2.664901,2.254413,2.480194,249945
2,Clube Atletico Mineiro Fan Token,GALO-USD,2021-11-26,2.38398,2.398873,2.044611,2.283419,200702
3,Clube Atletico Mineiro Fan Token,GALO-USD,2021-11-27,2.286186,2.438552,2.077157,2.248168,207888
4,Clube Atletico Mineiro Fan Token,GALO-USD,2021-11-28,2.258457,2.307899,2.089385,2.265883,16110
5,Clube Atletico Mineiro Fan Token,GALO-USD,2021-11-29,2.267404,2.836509,0.0,2.501594,193079
6,Clube Atletico Mineiro Fan Token,GALO-USD,2021-11-30,2.49804,2.49804,2.154425,2.263184,386688
7,Clube Atletico Mineiro Fan Token,GALO-USD,2021-12-01,2.257739,2.418704,2.043855,2.34217,321655
8,Clube Atletico Mineiro Fan Token,GALO-USD,2021-12-02,2.349404,2.56959,2.137227,2.183188,259722
9,Clube Atletico Mineiro Fan Token,GALO-USD,2021-12-03,2.18291,2.252916,1.869215,2.000262,52345
10,Clube Atletico Mineiro Fan Token,GALO-USD,2021-12-04,1.999977,2.024579,1.249284,1.695632,61625
11,Clube Atletico Mineiro Fan Token,GALO-USD,2021-12-05,1.695011,1.784018,1.475136,1.554383,40410
12,Clube Atletico Mineiro Fan Token,GALO-USD,2021-12-06,1.553227,1.571922,1.337728,1.53907,29337
13,Clube Atletico Mineiro Fan Token,GALO-USD,2021-12-07,1.537996,1.637998,1.426221,1.466394,16762
14,Clube Atletico Mineiro Fan Token,GALO-USD,2021-12-08,1.4668,1.529018,1.342759,1.481706,61767
15,Clube Atletico Mineiro Fan Token,GALO-USD,2021-12-09,1.479186,1.491043,1.314163,1.376581,43519
16,Clube Atletico Mineiro Fan Token,GALO-USD,2021-12-10,1.377829,1.415059,1.268366,1.273026,61469
17,Clube Atletico Mineiro Fan Token,GALO-USD,2021-12-11,1.270358,1.371478,1.254586,1.348133,67654
18,Clube Atletico Mineiro Fan Token,GALO-USD,2021-12-12,1.344999,1.426042,1.302425,1.332968,104184
19,Clube Atletico Mineiro Fan Token,GALO-USD,2021-12-13,1.334051,1.397803,1.133555,1.163819,89727
20,Clube Atletico Mineiro Fan Token,GALO-USD,2021-12-14,1.165087,1.250867,1.115637,1.177839,92206
21,Clube Atletico Mineiro Fan Token,GALO-USD,2021-12-15,1.178262,1.232926,1.07385,1.223554,70326
22,Clube Atletico Mineiro Fan Token,GALO-USD,2021-12-16,1.223912,1.245989,1.047607,1.06145,17636
23,Clube Atletico Mineiro Fan Token,GALO-USD,2021-12-17,1.064133,1.090321,0.913277,1.034262,37719
24,Clube Atletico Mineiro Fan Token,GALO-USD,2021-12-18,1.030868,1.038255,0.956927,1.002167,19890
25,Clube Atletico Mineiro Fan Token,GALO-USD,2021-12-19,1.002339,1.013322,0.930759,0.945898,11426
26,Clube Atletico Mineiro Fan Token,GALO-USD,2021-12-20,0.946946,0.986357,0.858136,0.951309,30947
27,Clube Atletico Mineiro Fan Token,GALO-USD,2021-12-21,0.952176,1.004792,0.935921,0.981806,26845
28,Clube Atletico Mineiro Fan Token,GALO-USD,2021-12-22,0.982044,1.019353,0.949473,0.970019,33639
